"taxon","family","class","guild","limit","side","lat1","lat2","dLat","lon1","lon2","dLon","site1","site2","N_site","temp1","temp2","dTemp","total_log1","total_log2","pop_trend","presence","range","trophic_level","trophic_group","max_length","water_column","habitat","max_depth","therm_max","therm_mid","sgi","region","latitude","longitude","dSST"
"Abudefduf bengalensis","Pomacentridae","Actinopterygii","tropical","southern","west",-26.1429399999999,-28.1923999999999,-2.04946000000002,113.16653,114.244129999999,1.07759999999978,"WA60","WA57",132,22.3716415868673,21.5765389876881,-0.795102599179202,8.07242190053737,7.57088296233958,-0.501538938197787,"common",1940,3.1,"Planktivore",17,"Demersal","coral",6,31.533,25.71525,20.3118817,"SW",-26.14294,113.16653,1.93836747143865
"Abudefduf bengalensis","Pomacentridae","Actinopterygii","tropical","southern","east",-31.4974700000007,-31.52736,-0.0298899999992877,159.067670000001,159.059830000003,-0.00783999999822527,"LHI18","LHI33",132,21.3954035567715,21.883488372093,0.4880848153215,6.74939298590825,6.48479693349065,-0.264596052417598,"common",1940,3.1,"Planktivore",17,"Demersal","coral",6,31.533,25.71525,20.3118817,"SE",-31.49747,159.06767,-2.8968777943368
"Abudefduf bengalensis","Pomacentridae","Actinopterygii","tropical","northern","both",-10.9098100000001,-10.9098100000001,0,133.021059999999,133.021059999999,0,"NT25","NT25",132,28.2004924760602,28.601124497992,0.400632021931798,5.36944785246702,4.91202300542815,-0.457424847038875,"common",1940,3.1,"Planktivore",17,"Demersal","coral",6,31.533,25.71525,20.3118817,"N",-10.90981,133.02106,0.400632021931798
"Abudefduf sexfasciatus","Pomacentridae","Actinopterygii","tropical","northern","both",-12.2905499999999,-10.1155799999998,2.17497000000001,143.402319999997,144.457769999998,1.05545000000012,"GBR49","CS200",165,26.847756497948,27.5833789329685,0.735622435020499,6.2257466737132,6.04985600724954,-0.175890666463665,"common",3411,2.4,"Planktivore",16,"Demersal","coral",20,31.121,24.7035,16.3945675,"N",-12.29055,143.40232,0.270013679890599
"Abudefduf sexfasciatus","Pomacentridae","Actinopterygii","tropical","southern","west",-31.9902000000002,-26.12171,5.86849000000014,115.504699999995,113.18267,-2.32202999999491,"RI9","WA62",165,21.0842818057456,24.310009058306,3.22572725256035,8.91644286012226,8.81520706218909,-0.101235797933171,"common",3411,2.4,"Planktivore",16,"Demersal","coral",20,31.121,24.7035,16.3945675,"SW",-31.9902,115.5047,0.595918271998098
"Abudefduf sexfasciatus","Pomacentridae","Actinopterygii","tropical","southern","east",-31.5390800000013,-31.5425200000011,-0.00343999999982003,159.065430000005,159.061940000004,-0.00349000000122146,"LHI5","LHI40",165,21.6093403252774,21.8430403556771,0.233700030399753,7.68586094706836,7.18001665365257,-0.505844293415787,"common",3411,2.4,"Planktivore",16,"Demersal","coral",20,31.121,24.7035,16.3945675,"SE",-31.53908,159.06543,-3.0249897540984
"Abudefduf vaigiensis","Pomacentridae","Actinopterygii","tropical","southern","west",-23.2131299999987,-26.12171,-2.90858000000138,113.762959999995,113.18267,-0.580289999994974,"NMP10","WA62",154,24.1555266757866,24.310009058306,0.154482382519351,7.91968384984741,8.04141166379481,0.1217278139474,"common",3014,2.6,"Planktivore",20,"Demersal","coral",15,31.30125,25.157,17.7387844,"SW",-23.21313,113.76296,0.722123597437399
"Abudefduf vaigiensis","Pomacentridae","Actinopterygii","tropical","southern","east",-31.5466600000027,-31.5466600000027,0,159.06128000001,159.06128000001,0,"LHI49","LHI49",154,21.6639671682627,21.8654309165527,0.201463748289999,7.4377516497364,7.58202513889283,0.144273489156425,"common",3014,2.6,"Planktivore",20,"Demersal","coral",15,31.30125,25.157,17.7387844,"SE",-31.54666,159.06128,-0.204103780284601
"Abudefduf vaigiensis","Pomacentridae","Actinopterygii","tropical","northern","both",-10.0387499999998,-9.98876999999994,0.0499799999998611,144.691980000003,144.691300000003,-0.000679999999590564,"CS193","CS208",154,27.1813269493844,27.483488372093,0.3021614227086,5.45434729625351,5.58496747867057,0.130620182417065,"common",3014,2.6,"Planktivore",20,"Demersal","coral",15,31.30125,25.157,17.7387844,"N",-10.03875,144.69198,0.7794489126846
"Abudefduf whitleyi","Pomacentridae","Actinopterygii","tropical","northern","both",-12.2812099999999,-12.2812099999999,0,143.407089999997,143.407089999997,0,"GBR47","GBR47",43,26.847756497948,27.1168809849521,0.269124487004099,4.89182029811063,4.49650756146648,-0.395312736644147,"rare",584,2.6,"Planktivore",14,"Demersal","coral",5,29.938,24.5775,9.1352892,"N",-12.28121,143.40709,0.269124487004099
"Abudefduf whitleyi","Pomacentridae","Actinopterygii","tropical","southern","east",-23.1664099999999,-28.6128000000002,-5.44639000000036,150.951659999999,153.628729999998,2.67706999999876,"GBR262","CBMP2",43,24.2291792065663,24.117168426485,-0.112010780081349,7.66695679242921,7.23244801655052,-0.434508775878684,"rare",584,2.6,"Planktivore",14,"Demersal","coral",5,29.938,24.5775,9.1352892,"N",-23.16641,150.95166,-0.00497948016409921
"Abudefduf whitleyi","Pomacentridae","Actinopterygii","tropical","southern","west",-17.2166200000001,-17.2166200000001,0,146.089180000001,146.089180000001,0,"GBR194","GBR194",43,26.4356908344733,26.5111111111111,0.0754202766378,6.03043792139244,5.76217393479776,-0.268263986594679,"rare",584,2.6,"Planktivore",14,"Demersal","coral",5,29.938,24.5775,9.1352892,"N",-17.21662,146.08918,0.0754202766378
"Acanthaluteres spilomelanurus","Monacanthidae","Actinopterygii","temperate","northern","west",-38.13253,-30.6782200000003,7.45430999999969,144.7099,115.106,-29.6039000000001,"PPB26","JMP-S39",41,15.833269493844,21.061121751026,5.227852257182,2.79175946922805,1.69314718055995,-1.09861228866811,"rare",404,2.9,"Herbivore",14,"Demersal","sand",10,22.598,16.5555,0.1803876,"S",-38.13253,144.7099,0.461860465116299
"Acanthaluteres spilomelanurus","Monacanthidae","Actinopterygii","temperate","northern","east",-35.1003899999996,-32.7133299999988,2.38706000000088,150.695210000003,152.157129999973,1.46191999997041,"JBMP46","PS7",41,19.2686867305062,21.0764523668413,1.80776563633507,2.6094379124341,1,-1.6094379124341,"rare",404,2.9,"Herbivore",14,"Demersal","sand",10,22.598,16.5555,0.1803876,"SE",-35.10039,150.69521,1.81540703614365
