"taxon","family","class","guild","limit","side","lat1","lat2","dLat","lon1","lon2","dLon","site1","site2","N_site","temp1","temp2","dTemp","total_log1","total_log2","pop_trend","presence","range","trophic_level","trophic_group","max_length","water_column","habitat","max_depth","therm_max","therm_mid","sgi","region","latitude","longitude","dSST"
"Abudefduf bengalensis","Pomacentridae","Actinopterygii","tropical","southern","west",-26.12171,-28.1923999999999,-2.07068999999988,113.18267,114.244129999999,1.06145999999961,"WA62","WA57",110,22.3716415868673,21.5765389876881,-0.795102599179202,8.07072410726028,7.49375383985169,-0.57697026740859,"common",1940,3.1,"Planktivore",17,"Demersal","coral",6,31.533,25.71525,20.3118817,"SW",-26.12171,113.18267,1.93836747143865
"Abudefduf bengalensis","Pomacentridae","Actinopterygii","tropical","southern","east",-27.4135099999995,-27.4135099999995,0,153.525189999998,153.525189999998,0,"MBMP2","MBMP2",110,23.8285909712722,24.6228749220894,0.79428395081715,6.68017260901707,6.35658627467201,-0.323586334345055,"common",1940,3.1,"Planktivore",17,"Demersal","coral",6,31.533,25.71525,20.3118817,"SE",-27.41351,153.52519,0.79428395081715
"Abudefduf bengalensis","Pomacentridae","Actinopterygii","tropical","northern","both",-10.9098100000001,-10.9098100000001,0,133.021059999999,133.021059999999,0,"NT25","NT25",110,28.2004924760602,28.601124497992,0.400632021931798,5.34380542185368,4.8286413964891,-0.515164025364589,"common",1940,3.1,"Planktivore",17,"Demersal","coral",6,31.533,25.71525,20.3118817,"N",-10.90981,133.02106,0.400632021931798
"Abudefduf sexfasciatus","Pomacentridae","Actinopterygii","tropical","northern","both",-12.2905499999999,-9.98876999999994,2.30177999999991,143.402319999997,144.691300000003,1.28898000000575,"GBR49","CS208",136,26.847756497948,27.483488372093,0.635731874144998,6.30826769740121,5.89783979995091,-0.410427897450294,"common",3411,2.4,"Planktivore",16,"Demersal","coral",20,31.121,24.7035,16.3945675,"N",-12.29055,143.40232,0.270013679890599
"Abudefduf sexfasciatus","Pomacentridae","Actinopterygii","tropical","southern","west",-26.1429399999999,-26.12171,0.0212299999998571,113.16653,113.18267,0.0161400000001635,"WA60","WA62",136,22.3716415868673,24.310009058306,1.93836747143865,8.75833346749091,8.69165682281055,-0.0666766446803635,"common",3411,2.4,"Planktivore",16,"Demersal","coral",20,31.121,24.7035,16.3945675,"SW",-26.14294,113.16653,1.93836747143865
"Abudefduf sexfasciatus","Pomacentridae","Actinopterygii","tropical","southern","east",-31.52736,-31.5390800000013,-0.0117200000012545,159.059830000003,159.065430000005,0.00560000000203331,"LHI33","LHI5",136,21.6546648426813,21.4518852459016,-0.202779596779699,8.3125534981026,6.86929691313377,-1.44325658496882,"common",3411,2.4,"Planktivore",16,"Demersal","coral",20,31.121,24.7035,16.3945675,"SE",-31.52736,159.05983,-3.0267213114754
"Abudefduf vaigiensis","Pomacentridae","Actinopterygii","tropical","southern","east",-28.6128000000002,-29.9304399999982,-1.31763999999798,153.628729999998,153.389840000001,-0.238889999996701,"CBMP2","SI1",116,23.3298084815321,22.7841860465116,-0.545622435020501,7.35088571671474,7.36990098282823,0.0190152661134873,"common",3014,2.6,"Planktivore",20,"Demersal","coral",15,31.30125,25.157,17.7387844,"SE",-28.6128,153.62873,0.787359944952851
"Abudefduf vaigiensis","Pomacentridae","Actinopterygii","tropical","southern","west",-23.2083799999987,-26.12171,-2.91333000000133,113.763280000006,113.18267,-0.580610000006459,"NMP11","WA62",116,24.1555266757866,24.310009058306,0.154482382519351,7.91075078796194,8.0352685992811,0.12451781131916,"common",3014,2.6,"Planktivore",20,"Demersal","coral",15,31.30125,25.157,17.7387844,"SW",-23.20838,113.76328,0.7205388979839
"Abudefduf vaigiensis","Pomacentridae","Actinopterygii","tropical","northern","both",-10.0387499999998,-10.1050500000001,-0.0663000000002665,144.691980000003,144.685129999999,-0.00685000000373748,"CS193","CS204",116,27.1813269493844,27.4489329685363,0.267606019151902,5.4188406077966,5.51085950651685,0.0920188987202515,"common",3014,2.6,"Planktivore",20,"Demersal","coral",15,31.30125,25.157,17.7387844,"N",-10.03875,144.69198,0.7794489126846
"Abudefduf whitleyi","Pomacentridae","Actinopterygii","tropical","southern","west",-14.68717,-17.2166200000001,-2.52945000000006,145.465649999999,146.089180000001,0.623530000002376,"GBR223","GBR194",43,26.8617920656635,26.5111111111111,-0.350680954552402,6.06259503302697,5.83628190695148,-0.226313126075489,"rare",584,2.6,"Planktivore",14,"Demersal","coral",5,29.938,24.5775,9.1352892,"N",-14.68717,145.46565,0.239699042407601
